object_name red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time input_separation input_size normal_separation deltamag_red deltamag_green model_color Pcc redshift absmag class
2020jgb -0.0887267704075255 0.6 -2.8698625715326243 16.74900299373366 -0.09060459585500362 0.6 -5.493853943191818 17.16158778117697 13.987696700263768 0.4095815907407851 1.002190390652275 0.4086864078533113 1.4034952895941544 0.9753929689949707 0.39115089942476544 0.0008144543850846508 0.03 -18.78888002432286 SNIa
2018jst -0.07758421722181708 0.6 1.187576866930311 18.369962487593455 -0.0683017255141102 0.6 -1.400175878488374 18.35672355051 10.987419000164664 4.162573676659528 2.934704 1.4183964299839191 -1.2699945792986682 -1.193637730177688 -0.0882950390412276 0.004281010470918556 0.07 -19.141295400808733 SNIa
2020mad -0.026704537299268964 0.6 -23.86690816487334 19.641504214308746 -0.019036236857162256 0.6 -22.692616500495063 19.952320476469286 51.93741900008172 0.0 0.0 0.0 3.316587136893439 2.887351403545697 0.15203959496078667 0.3686644124980756 0.123 -18.9858795925777 SLSN-II
2018jpo nan nan nan nan nan nan nan nan nan 0.7010104704179738 1.721441 0.4072230592962372 nan nan nan 0.0017112331881480314 0.06 nan SNIa
2020aul -0.08036801705252401 0.6 -23.844484246875936 18.7071318757611 -0.10892350402506909 0.6 -17.475251954853327 18.72782076108963 0.10796299995854497 1.469863798404824 1.067703 1.3766597999676162 -0.5297126601759636 -0.6437561245445949 0.014873679418993646 0.0013424525914210728 0.093 -19.373530626282204 SNIa
2021phr -0.057124698526939625 0.6 2.323087780139 18.99604288689519 -0.05616973207704311 0.6 2.6993712577228646 18.978023658462618 17.04555549984798 6.273467869287423 0.704014 8.910998743330989 1.4453036832133996 1.4296918953849769 -0.004571545434014723 0.051070880862596923 0.145 -19.95440591676409 SNIa
2020zbr -0.03552708100462833 0.6 -8.314681461012935 19.17049215336046 -0.052186418848313855 0.6 -10.340583978972976 19.297310372176362 1.9861225998029113 1.0661812138720437 1.553838649603166 0.6861595405316602 -1.0878869627136432 -1.2475066770616152 0.11208590589689038 0.0017162286683183314 0.091 -19.06536679554352 SNIa
2018jsc nan nan nan nan nan nan nan nan nan 0.0 0.0 0.0 nan nan nan 0.30498179739169373 0.0 nan CV
2020zk -0.05765352349196422 0.6 2.875259628544587 18.74496442300795 -0.1244679535454685 0.6 -1.796777318947014 18.720200393787373 10.732766199856997 6.274539323284873 2.358658 2.6602158190313614 -2.425961754627732 -2.314742622474011 -0.1718162612390728 0.002636619088432046 0.09 -19.428722222069243 SNIa
2019bnh -0.05236518208930814 0.6 -7.168686606602003 18.644208121762496 -0.030617948753636454 0.6 -20.094019530709872 18.984937180191785 17.747858799993992 0.10541118428682954 2.062242 0.05111484699023177 -2.8844060665890225 -3.0253261949070733 0.16960760385641294 0.0005717135258184181 0.0782 -18.96773212342346 SNIa
2019wvv nan nan nan nan nan nan nan nan nan 2.9876464170922916 3.605946802651548 0.8285331372319181 nan nan nan 0.002065954628834965 0.031 nan SNIIP
2020sfs -0.08669019977434468 0.6 -2.002194302847365 18.262846972011 -0.09080138703487944 0.6 -4.247771478062292 18.27970036792521 15.998611100018024 4.594787029036714 2.5462792681634276 1.804510246180038 -2.121857709542585 -2.0167758671559106 -0.15001004145097596 0.0022047625307548557 0.08 -19.342859833987525 SNIa
2021nli -0.031171596071137144 0.6 -11.458415411062205 18.017488412924017 -0.06775058715741114 0.6 -22.109479274342284 17.708785870264578 1.9622105997987092 10.760470581538142 2.7747850509652396 3.8779474387736785 -3.797817166112555 -3.677194009825133 -0.10030678776772461 0.0012054206631411102 0.030067 -17.75617758420419 SNII
2020axk -0.12548300787452438 0.6 -5.506194519990771 17.328471365856885 -0.13766915389100398 0.6 -5.943203453789295 17.250046036024596 16.99865740025416 3.894429423093617 1.536824 2.5340763959266757 -0.3569343657473425 -0.3030113820452236 -0.09878097053357138 0.0016210522151350881 0.04113 -19.156510546834582 SNIa
2020azt nan nan nan nan nan nan nan nan nan 2.285091132905603 2.0980412661696244 1.0891545222451577 nan nan nan 0.004083083505799889 0.15 nan SNIa
2010X nan nan nan nan nan nan nan nan nan 8.234012594446327 4.439798585236758 1.8545914721956327 nan nan nan 0.000712531081787815 0.015 nan SNIc
2021nnv -0.1121135234064448 0.6 -5.361832783020371 17.69769864512307 -0.13730386353365687 0.6 -6.2463547336168075 17.924202022737223 13.044293999671936 6.019312531920508 4.254731 1.414733982458705 -3.1640775830515437 -3.4146847023656406 0.25638078605063797 0.0011513002489216273 0.0381 -18.583085649549286 SNIa
2021wcd -0.04776358837151165 0.6 -10.68813474901216 18.29031807607703 -0.13211208920485012 0.6 -5.325098035260684 18.283048973053745 13.975219899788499 3.250874323619105 2.38729 1.3617425296545893 -2.73625846738123 -2.671191984223956 0.0031868181791558925 0.0008261435259213634 0.063 -19.024753241479836 SNIa
2019ulm -0.08184244343143296 0.6 3.499554103405638 18.48683816797316 -0.09186560583348435 0.6 2.170759543626886 18.385429981660256 6.113599599804729 4.180982715377947 3.501734 1.193974960798835 -2.4464830903423405 -2.4389140829870897 -0.16016061178402907 0.0023288791456008706 0.099 -19.89256613922361 SNIa
2020jje nan nan nan nan nan nan nan nan nan 0.3161042532506552 4.512323 0.07005355185137571 nan nan nan 0.0006430463180053803 0.04592 nan SNIa
2020hqz -0.10612228346289854 0.6 -8.559450603544558 17.67157106803537 -0.08641929109215733 0.6 -23.80564120698121 17.74312327088733 5.964328700210899 24.961122883201266 0.7 35.65874697600181 -4.893831268630482 -5.109635320965978 0.4855163786630783 0.0017888418059985867 0.018199 -16.939500837732844 SNIb
2019wuz -0.10251072943976572 0.6 1.0594050431681894 17.328732733512393 -0.18946981323677703 0.6 -3.4702924260785304 17.52543322901962 8.043819400016218 4.568313335598789 3.773639866527446 1.210585402205487 -1.8582637942146096 -2.020505081583371 0.05979028445412382 0.0019013813446696615 0.04 -18.897881901688848 SNIa
2019wva -0.10507274917039396 0.6 -17.632590784043376 17.619112121752945 -0.043393335870163086 0.6 -15.121135811331847 17.826955523487023 3.0016899001784623 0.5709858150359757 0.80208 0.7118813772142126 2.0526466228422997 2.0579142155530725 -0.1480563420127261 0.0017847045589540755 0.053 -19.193640895127164 SNIa
2020jhm -0.16702507532200755 0.6 -8.863589532413885 17.088676619635642 -0.07725440520669324 0.6 -5.911476636476643 16.67272457726694 15.070208299905062 7.4829120576483055 3.1428504052720947 2.380931667983881 0.24378791791796672 0.48542591371586497 -0.32175142413212754 0.008483423402546597 0.06 -20.208074774857767 SLSN-I
2019kfj nan nan nan nan nan nan nan nan nan 4.721244727048691 1.501964 3.1433807515018275 nan nan nan 0.005125194627374596 0.092 nan SNIa
2012P -0.08492596966227442 0.6 -5.485845868055345 15.873125179431561 -0.17670479635742892 0.6 -8.440344918500701 16.429041922499163 17.728000000002794 14.108380492464601 3.9061920722640604 3.611798967245169 -3.6071609905247133 -4.154856467744571 0.5917324750111526 0.0004915010092669814 0.00447 -15.702101971983026 SNIbc
2019ekb -0.11458221693258838 0.6 -1.952906803615256 18.328729796400985 -0.1288523786924258 0.6 -2.898467779863899 18.219643719943026 10.759398099966347 2.1719228132896666 3.578458 0.6069437767020506 -1.7587460829071802 -1.623521553598028 -0.1304241539102513 0.0028137228463731567 0.0671 -19.21133341704717 SNIa
2021lwa -0.03115005673868544 0.6 -6.740039061794867 19.476982846482223 -0.039008867147290446 0.6 -15.617123525042668 19.76728817732728 7.161157399881631 7.902387029507663 2.996699 2.637030622530879 -1.942552440737252 -2.203118867615352 0.26301717977151284 0.010054231715359796 0.123 -19.486543441608234 SNIa
