mod_object_name class red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude average_amplitude average_offset average_magnitude delta_time green_brightest red_brightest input_separation input_size input_magnitude normal_separation deltamag_red deltamag_green color model_color Pcc redshift absmag
2019uba SLSN-II -0.03908748150363421 0.4425406500887211 -11.157906190284791 19.18926240115238 -0.055639325752975935 0.5498800128159781 -17.90848950712909 19.36084915851935 -0.04421959003331288 -14.238535328792366 19.256859261529794 30.711875000037253 19.4019165039062 19.1109447479248 8.995316550693328 0.9849448 19.060560000000002 9.132812875090389 -0.050384747924798745 -0.3413565039061979 0.1715867573669705 0.06841889933773615 0.029398018267648318 0.302 -21.928142361311398
2008es SLSN-II nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.0 0.0 23.2 0.0 nan nan nan nan 0.16124646385212038 0.213 nan
2017bcc SLSN-II -0.05191329435140196 0.6040495055029096 -35.256831349708776 18.33650356677748 -0.03980911400240719 0.39436800025010255 -28.42362622108994 18.862214362015393 -0.04728241737638138 -32.56265449198268 18.500558111590767 32.280606944448664 18.7844 18.2935 0.30234086349799094 0.8920768 17.747799999999998 0.3389179760060916 -0.5457000000000036 -1.0366000000000035 0.525710795237913 0.5378069361398943 0.0004248758927758445 0.133 -20.75724468250594
2019ibk SNII nan nan nan nan nan nan nan nan nan nan nan nan nan nan 12.211308052514212 6.434216 15.49061 1.8978703936134895 nan nan nan nan 0.007322186584644341 0.040164 nan
2019hsy SNIa -0.15158207320889117 0.6104361576129137 -3.3315192964951397 18.767711431608443 -0.1425259304519395 0.7768545484732008 -2.17131910263229 18.68317143327235 -0.1456683832363601 -2.6648607802025053 18.712818758091956 11.93559024440765 18.5717277526855 18.6048488616943 0.44482440032055454 3.4311593251310666 16.0361 0.12964259545235857 -2.5687488616942993 -2.5356277526854996 -0.08453999833609416 -0.022066891581410175 0.0016700639391392658 0.069 -18.92870525673144
2019hql SNIa -0.09321299550143335 0.3347388082703655 -3.199656329491461 18.669056731407984 -0.13597352028806295 0.6803889975817239 -2.669362554868008 18.495706087277043 -0.1260097422734663 -2.800717350439663 18.543032032230876 10.994571710965829 18.3808326721191 18.4715766906738 26.346983846201923 2.643502 16.2314 9.966697148782911 -2.240176690673799 -2.149432672119101 -0.1733506441309416 -0.07273425606464556 0.029172661565386115 0.07 -19.09472838722838
2019hqh SNIa nan nan nan nan nan nan nan nan nan nan nan nan nan nan 0.9445612037857197 1.45504 16.78061 0.6491651114647843 nan nan nan nan 0.0005823797024476773 0.08 nan
2019hqg SNIa -0.11108188577746866 0.4580374659237242 -1.9113151538303443 18.73039402939076 -0.13298643413604933 0.61934981879411 -2.169162473319762 18.557967629727088 -0.12136678843002485 -2.0566921443460573 18.6297651668921 10.00332171854825 18.4511795043945 18.5258655548096 2.7688935844919254 2.002201 17.144025 1.382924883411768 -1.3818405548095996 -1.3071545043945 -0.1724263996636708 -0.15031218203221997 0.0019422785551403976 0.07 -19.04043952309258
2019hnu SNIa -0.09596470183894336 0.5926984683390242 0.268562720287169 18.066257038920757 -0.04983788243650459 0.41478477323658697 13.22089480056184 17.251693974306164 -0.0699905302413911 3.92388404487961 17.86443475899817 14.994814803627378 17.8583850860596 18.0013389587402 5.94806582593254 3.437263 16.48565 1.7304657298357848 -1.5156889587401992 -1.372735086059599 -0.8145630646145925 -0.16602957165711274 0.004101809109775645 0.06 -19.21507143584835
2019hnn SNIa -0.11142872801925534 0.47200435003128305 -0.6189266916239085 18.806733929032216 -0.13843708712346806 0.45281912100112254 -2.8370425486962865 18.859342845292392 -0.12207603123384463 -1.7852845832334712 18.831849594374628 9.017592600081116 18.6418399810791 18.6483936309814 9.361918884352086 1.8052036544832386 15.7525 5.186073527550025 -2.8958936309813996 -2.889339981079102 0.052608916260176386 -0.060259839063782294 0.0028646271482114516 0.08 -19.22281431968489
2019hmc SNIa -0.09796712006395258 0.5484135252028868 -10.53283921737189 18.83695639943302 -0.07969382713023276 0.3516714232368672 -17.32743463480839 19.24500877742563 -0.0946852395306317 -11.952106149894362 18.97029797169321 17.955474500078708 19.0963268280029 18.7903060913086 4.020607085377622 3.046383 19.04967 1.3197969806743348 0.25936390869139814 -0.04665682800290227 0.40805237799261107 0.22279482007185436 0.018424737871796992 0.045031 -17.77979607669294
2019hlx SNIa nan nan nan nan nan nan nan nan nan nan nan nan nan nan 1.9342110414066662 1.059379 18.26549 1.825797039026322 nan nan nan nan 0.0015816280175499076 0.07 nan
2019hko SNIa -0.1549529172785772 0.5075486844296906 -5.826122876371562 19.020889335451848 -0.13899100381398052 0.4608288100712914 -7.983287004762819 18.97454394337815 -0.14758270512057808 -6.6910552946482955 18.99816399871102 13.737891377524647 18.7864780426025 18.8324794769287 9.355208224731248 1.8839793363461828 16.4694 4.965663924358574 -2.3630794769287 -2.3170780426024997 -0.0463453920736967 -0.06896349747331598 0.004984630656157396 0.09 -19.309220729852935
2019hkn SNIa -0.10747654412484517 0.580559537851012 -2.2629222310988446 18.576477247423355 -0.13412992972596557 0.534513559861689 -3.1795902827355036 18.46028044162678 -0.12047368329923937 -2.7705652707808475 18.516897712486482 9.996909700334072 18.3288402557373 18.4634628295898 0.044921861618735584 1.206977 17.134175 0.03721849017730709 -1.329287829589802 -1.194665255737302 -0.11619680579657654 -0.16073883414561507 0.00047446403403028636 0.0822 -19.469912971950535
2019ibc Varstar -0.14037016605091657 0.8234590254029843 -37.44698263339257 12.608429627158227 -0.20144499158826662 0.753054996673688 -28.348434959551046 12.269161114729961 -0.162975377775325 -33.29485298740073 12.478754349419379 0.46753469994291663 15.5289001464844 15.8 0.2771110682835558 0.6687169460433503 23.25531 0.41439217283659474 7.455310000000001 7.726409853515602 -0.3392685124282657 -0.36920040785316743 0.01577697656885002 0.0 0.0
2019hkl SNIa -0.1150375011009581 0.4429773085536821 -7.551642166348447 18.58361338113551 -0.12095499600291221 0.5379013464243012 -7.4783881006970745 18.58087294271325 -0.11824251324376665 -7.510391998641115 18.582058627335318 16.022719936954672 18.4537048339844 18.4088306427002 0.9657895882670988 2.623391 17.305844999999998 0.3681454988094031 -1.102985642700201 -1.147859833984402 -0.0027404384222613487 0.08423053561417859 0.0026365334692052267 0.06965 -19.14606291206883
2019hkd SNIa -0.05449778623756138 0.6570139821153487 -12.035443239564295 18.426241240231324 -0.2780475320340172 0.558950535725351 -16.84947900673806 18.29080335546031 -0.10406431833505585 -14.041236841702224 18.420065135550914 8.869004699998186 20.1466598510742 18.37 7.559153982118206 6.354542 14.428025000000002 1.1895670816430524 -3.9419749999999993 -5.718634851074199 -0.13543788477101515 1.5425430138598593 0.0022748178437446143 0.035741 -17.68377901653258
2019hib SNIa -0.14684152628724295 0.4149839193379425 0.6740787471612764 17.888294446362316 -0.19129228126781153 0.6016565021005756 -11.526094342210374 19.37132413259241 -0.15551139671601008 -1.3581891924417322 18.08736878885914 9.041805499771726 20.349235534668 17.9658737182617 1.6603449044158471 4.346613 16.37864 0.38198590590325093 -1.5872337182617002 -3.970595534668 1.4830296862300933 1.8568894981551765 0.0035852043877410145 0.0551 -19.058028955335434
2019hhz SNIa -0.0685622849263792 0.5157237592036489 -12.683633750034982 18.772276304285526 -0.06634996544206734 0.5303822228161013 -22.615106859641944 18.72440538849702 -0.06719755897537455 -17.75066129094201 18.74238650628146 2.988645900040865 18.6758041381836 18.72 2.9320237195964745 2.43453 16.449315 1.2043489788979698 -2.2706850000000003 -2.2264891381836023 -0.04787091578850777 0.10339541384883688 0.0015617732307307008 0.05538 -18.315339991882496
2019hgw SNIa -0.15186629141132335 0.3335672377718343 -7.055856203677438 17.79924687567688 -0.15505883018988215 0.4298209074544498 -6.885418499251723 17.725098365873798 -0.15324002110894946 -6.9778630492125 17.762860817120714 15.994502299850865 17.521577835083 17.4946212768555 3.7647243992272634 5.677898842479225 15.2959 0.6630488678420019 -2.198721276855501 -2.225677835083001 -0.07414850980308074 0.028653613029177905 0.0028784844597868897 0.037 -18.636322977414803
2019hgl SNIa -0.10931030355668869 0.6315743758989265 -3.8850915404628292 18.54343933168938 -0.04613920931114733 0.2942244466148769 2.941062222639184 18.29623705282162 -0.07284812555172308 -2.1886365682712667 18.47360766015016 12.966423599980772 18.3544883728027 18.4910144805908 2.5029669344759973 3.25263 17.670205 0.7695209521144419 -0.8208094805907997 -0.6842833728026996 -0.24720227886776058 -0.06398777383352083 0.005926310434174131 0.087 -19.572672725508248
2019hez SNIa -0.1507774324422007 0.450137307302427 -4.403675930565143 16.495757200525766 -0.09504351671593379 0.8576650753303259 1.7105930252098527 16.3454898780904 -0.10526045975227058 -0.42724659267125037 16.36768379984933 15.951874951853824 16.366138458252 16.3032283782959 11.215464073479517 6.849687 14.885955 1.6373688423251334 -1.4172733782958993 -1.4801834582520002 -0.150267322435365 0.0731553252352164 0.004612785099235794 0.0113 -17.210734160675933
2019hei SNIa -0.14817727856354587 0.6240148285093317 -3.9585887609603394 18.573049496449233 -0.18987118671733885 0.5271991054401151 -5.307292366205102 18.380219268765686 -0.1593449561013647 -4.641285352373034 18.479599341340165 11.979803281355998 18.2612285614014 18.5162582397461 7.134633126862507 2.137106386599343 15.7536 3.338454824523475 -2.7626582397461004 -2.5076285614013987 -0.1928302276835474 -0.21877420080145882 0.0019706503729273184 0.07 -19.050046838156078
2019heh SNIa -0.11781090962106712 0.4958148355140233 -5.309170573324454 18.560710887866584 -0.15199725115713453 0.5187987526678342 -6.63854624592916 18.594996791011646 -0.1357578735514758 -6.075818488664638 18.579472543598886 13.976828662860498 18.4601020812988 18.4151496887207 7.013760359583402 3.0299549089631728 16.115 2.314806843770311 -2.300149688720701 -2.3451020812988013 0.034285903145061525 0.07721661670385416 0.0032191483839789647 0.06 -18.80126070586785
2019hcg SNIa nan nan nan nan nan nan nan nan nan nan nan nan nan nan 3.7294636893711357 2.976784 16.050125 1.2528499512800175 nan nan nan nan 0.0017615700488495811 0.077296 nan
2019iay SNIIn -0.05963703052292135 0.45139760506629334 -10.432147707573119 18.621192695268952 -0.08717659690376639 0.4787773414362221 -16.837246601187058 18.77630354091143 -0.07013557918621754 -14.232978980617805 18.69781943606412 18.01650470001914 18.5724811553955 18.471794128418 8.187032022906966 4.801974 16.45024 1.7049305187631096 -2.021554128418 -2.1222411553955 0.15511084564247923 0.2706687715067311 0.007681425439765133 0.0406 -17.86644198508591
2019hcf SNIa -0.0956883971160725 0.32367633005913543 -10.852778658198647 19.529400404226855 -0.047439164537684236 0.3151858957050861 -7.792563132013177 19.680838248482416 -0.06395773491818613 -9.484334895623649 19.618843859624512 3.0728124999441206 19.5394268035889 19.4384860992432 10.217698697673434 3.4386679738303245 15.322 2.971411830230286 -4.1164860992432 -4.2174268035889 0.15143784425556106 0.26879033066143165 0.0031116213140882643 0.081 -18.461179515606005
2019hbs SNIa -0.07505460446505426 0.4920249619797814 -5.530351049281415 18.564073460429015 -0.05342713350549723 0.45788417887045174 -0.66813001859262 18.257299754920467 -0.06020818047982713 -3.220559444710261 18.427609347357222 14.931874999885622 18.2979335784912 18.3982963562012 4.952297199220893 1.52124 16.349899999999998 3.2554345134369944 -2.048396356201202 -1.9480335784912022 -0.3067737055085473 -0.19001308200013156 0.0015144072209440917 0.056 -18.662171762378684
2019hbb SNIa -0.14212117848321743 0.4897028670340623 -4.982210594308031 17.12961090223071 -0.13650091643625573 0.7629158524722132 -3.08845922014683 16.942232282260125 -0.13831307815074634 -3.79849348122631 16.997593474913234 14.034953700131155 16.8749046325684 16.9602546691895 2.4664748694407486 2.616493 16.67558 0.9426644250302785 -0.28467466918949924 -0.19932463256839839 -0.18737861997058403 -0.04907718912454939 0.0019211851821971937 0.03 -18.704175426958567
2019hax SNIa -0.06575897483193868 0.4483311552070307 -2.079633795928725 19.041291644125863 -0.14701041448558705 0.6335523339039623 0.2054907467989654 19.383562080403777 -0.10389695129486265 -0.45434268929102456 19.22867307832611 5.930289400195761 19.0769195556641 18.8590908050537 0.18352698593635236 2.777123 16.299235 0.06608529256224963 -2.559855805053701 -2.777684555664102 0.3422704362779143 0.4203058989926447 0.001332301328357155 0.06 -18.35731958953485
2019haw SNIa -0.09090725861449432 0.4774527558362865 -4.096938278658984 17.960942763759252 -0.10250773110812227 0.6975622048983894 -3.446788482289131 17.785471161747125 -0.09860536920547706 -3.6814191099744504 17.83575689936775 15.003935170170735 17.7299251556396 17.808801651001 0.6981692244457148 2.097812724407694 14.7667 0.3328081750685534 -3.0421016510010013 -2.9632251556395985 -0.1754716020121272 -0.09352972662740555 0.00024368792533357997 0.049 -18.950899740401187
2019hav SNIa -0.23926770939707684 0.4991989828971845 -2.8440920697673615 18.119616695339296 -0.09680314201414361 0.519293527759171 -23.11032160573928 18.335891000651053 -0.12700210051472802 -13.628343035337686 18.28645370781511 6.867245329580328 18.4488620758057 18.68 1.5719764336910427 0.7918254 19.89084 1.985256388202554 1.210840000000001 1.4419779241943012 0.21627430531175662 0.6387062250538094 0.003287229237030953 0.08 -19.19120795066629
2019hak SNIa -0.11866063247735822 0.5227489964445714 -4.05883966053541 18.50958267289993 -0.1376913043854775 0.47939971339807386 -4.532269215297815 18.445887382902797 -0.1264791167714974 -4.298165487839025 18.482459922914217 15.00281251497654 18.3171520233154 18.3988246917725 5.712206482172232 3.293761 15.526775 1.7342504456675005 -2.8720496917724994 -2.7903770233154006 -0.06369528999713481 -0.0983036792754639 0.001823118100653498 0.06758 -19.08743234081071
2019gzd SNIa -0.06602388598200794 0.40524769520228554 -1.8567480770196014 18.408795768551226 -0.15051332564449255 0.4955602751129001 -7.1080915292670035 18.806376282272947 -0.09319806214713568 -5.496111349540324 18.600530781066638 15.046504599995387 18.6073093414307 18.3169250488281 1.9432298328996538 3.4163142056414495 14.8333 0.5688088729340959 -3.4836250488281006 -3.7740093414307 0.39758051372172076 0.3365118195557173 0.0007148409479370565 0.057 -18.78351209465139
2019gyz SNIa -0.1424840771764662 0.44446106791376533 -3.2995651308634333 18.78955049522147 -0.1327922159086331 0.446889418986178 -2.9694264072608663 18.6741731587544 -0.13676164471183355 -3.1214091259247914 18.725973140274647 11.959004611329874 18.5029888153076 18.5919380187988 0.6704243546709399 1.884003 17.383285 0.3558510016549548 -1.208653018798799 -1.1197038153075987 -0.11537733646706982 -0.09889537015895655 0.0014399590031876075 0.0729 -19.06687022876403
