object_name red_amplitude red_amplitude2 red_offset red_magnitude green_amplitude green_amplitude2 green_offset green_magnitude delta_time input_separation input_size normal_separation deltamag_red deltamag_green model_color Pcc redshift absmag class
2004ex -0.11731650474838387 0.48258384436918417 -6.2453903227320104 17.442825276352714 -0.1399704406113197 0.45613538986078933 -8.917282063922508 17.98969405494186 19.169999999998254 18.285311247052654 7.212615111533007 2.535184668015121 -3.0223295819884264 -3.5071585929095335 0.5690317357248311 0.004720270196667431 0.017549 -17.263093568573744 SNIIb
2004fe -0.21355319206413495 0.29470383235840303 -7.740643008964737 17.232119963716162 -0.3277319466363315 0.22167208567210828 -9.45199366278765 17.71515909004809 12.599999999998545 1.4006201466877606 4.94551709847189 0.28321005039504094 -2.437743596635528 -3.178219210972866 0.5362451755946793 0.0007650562244736481 0.018 -18.07287185384226 SNIc
2004ff -0.06459666871670101 0.6763864121066159 -43.094480966584754 16.702671228832873 -0.10882375081531714 0.5441134449142381 -49.13711164929773 16.27976937392507 8.900000000001455 11.984603260340778 5.855735481511858 2.046643551126825 -4.228483334270445 -5.063672569502446 0.5466856918195901 0.0008753038592033136 0.022649 -17.972737404246264 SNIc
2004gq -0.13753497011119648 0.3091642964482091 -8.519263986708086 15.539278385336791 -0.08255008306956371 0.6123706115739255 -48.341470210983886 14.219199713943764 9.400000000001455 16.627403006307166 4.867092557762084 3.4162906928469297 -4.2284614004926215 -4.75205563167961 0.47004401029866116 0.0002016172672385519 0.006468 -17.525052201896038 SNIb
2004gt -0.11005269967198483 0.33882721825657536 -10.58555935951295 15.339962320462284 -0.07685468286088043 0.6346143020979336 -33.330854521944346 15.037040230529344 10.30000000000291 2.9483121221963815 4.139790864685336 0.7121886632841974 -3.349975243552386 -4.108582987262103 0.6932494896695083 9.393670166668588e-05 0.005477 -16.97998642246351 SNIbc
2004gv -0.15209090566842975 0.33341927199731747 -9.193622725735743 17.31816566151216 -0.24492069495064583 0.2851680129486492 -11.060796761440955 17.690601605234527 17.55999999999767 14.421149762757407 11.11451 1.2975065713879792 -4.265527516784726 -4.5528877399374075 0.49832960728999964 0.0020110721768856754 0.02 -17.771929099660984 SNIb
2005ap nan nan nan nan nan nan nan nan nan 5.585243867858755 1.065133 5.243705591563452 nan nan nan 0.03372910961535536 0.2832 nan SLSN-I
2005bf -0.04187368648401112 0.9995962921538364 -0.9645766935408319 16.484651346198486 -0.04166992718338065 0.9995634891505409 -1.7919753586290792 16.55793817062637 36.15823000000091 8.835191258423162 6.624409483818085 1.3337326564738352 -1.6761067012635884 -1.7683001653836214 0.0751855148588767 0.002923539400884523 0.018913 -18.405080103342492 SNIbc
2005em -0.18158435283865193 0.3500381808595976 -7.984066452793359 17.77974781070811 -0.28385143849394 0.29134672458956223 -9.440779183872996 18.025339371013086 10.360000000000582 0.6329236942323506 1.028482 0.61539598576577 0.3344376242039431 0.12764527604029396 0.3528142167788033 0.0006368064299651088 0.0253 -17.797139591297324 SNIIb
2005gi -0.015586247913173866 0.8043965570011091 -37.90397605720885 19.793830865717343 -0.03337816157046477 0.7969433884613745 -41.66221368184658 19.290549299109827 17.95783400000073 1.294933545560746 0.4408556 2.9373190349872975 2.9257376238303685 3.081962879575144 -0.17523841587431477 0.013411323466213432 0.050534 -17.075790686132017 SNII
